,Unnamed: 0,FacultyID,DepartmentCode,EntryTypeID,TCAS,HomeRegion,SchoolRegionNameEng,EntryGPA,GPAX,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q12,Q13,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q30,Q31,Q32,Q33,Status
0,0,10,1006,10,2,1,1,3.61,3.61,3.94,3.33,3.41,3.86,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,MFU student
1,2,10,1006,29,1,1,1,3.9,3.92,4,3.68,3.91,4,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,MFU student
2,3,10,1006,29,1,1,1,3.45,3.46,3.91,2.36,3.25,3.67,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MFU student
3,4,10,1006,10,2,1,1,3.31,3.4,3.73,2.3,3.3,2.92,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,MFU student
4,5,10,1006,10,2,1,1,3.21,3.22,3.6,2.73,3.05,3.33,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,MFU student
5,6,10,1006,29,1,0,0,2.97,2.94,3.7,1.7,2.85,3.44,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,MFU student
6,7,10,1006,10,2,1,1,3.84,3.83,4,3.9,3.65,4,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,MFU student
7,8,10,1006,29,1,1,1,3.72,3.69,3.59,3.1,3.8,3.7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,MFU student
8,10,10,1006,29,1,0,0,3.55,3.46,3.9,2.95,2.9,3.67,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,MFU student
9,11,10,1006,10,2,1,1,3.64,3.64,3.97,3.26,3.33,3.91,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,MFU student
10,12,10,1006,29,1,0,0,3.78,3.78,4,3.95,3.45,4,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,MFU student
11,13,10,1006,29,1,1,1,3.63,3.63,3.56,3.4,3.7,3.7,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,MFU student
12,19,10,1006,29,1,1,0,2.51,2.51,4,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,MFU student
13,20,10,1006,29,1,1,1,3.55,3.57,3.97,3.36,3.12,3.85,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,MFU student
14,22,10,1006,10,2,0,1,3.23,3.22,3.79,3,2.91,3.33,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,MFU student
15,23,10,1006,29,1,0,0,3.12,3.13,3.57,1.8,2.8,3.03,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,MFU student
16,25,10,1006,10,2,1,1,3.37,3.46,3.71,2.8,2.7,2.72,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,MFU student
17,26,10,1006,29,1,0,0,3.32,3.33,3.88,3.1,2.85,3.66,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,MFU student
18,28,10,1006,29,1,0,0,3.42,3.36,3.78,3.07,3.08,3.77,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,MFU student
19,29,10,1006,29,1,0,0,3.33,3.3,3.57,2.09,2.7,3.73,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,MFU student
20,30,10,1006,10,2,1,1,3.46,3.43,4,2.63,3.02,3.94,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,MFU student
21,31,10,1006,29,1,1,1,3.65,3.67,3.9,2.8,3,3.9,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,MFU student
22,34,10,1006,29,1,0,0,3.06,3.14,3.65,2.03,2.6,2.85,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,MFU student
23,35,10,1006,29,1,0,0,2.91,2.86,3.28,1.2,2,3.35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MFU student
24,37,10,1006,10,2,1,1,3.4,3.33,3.84,2.42,3.07,4,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,MFU student
25,38,10,1006,29,1,0,0,3.1,3.09,3.41,2.66,2.63,3.3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,MFU student
26,40,10,1006,29,1,0,0,3.86,3.86,3.96,3.8,3.78,3.94,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,MFU student
27,41,10,1006,10,2,1,1,3.23,3.2,3.93,2.61,2.57,3.52,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,MFU student
28,43,10,1006,29,1,0,0,3.68,3.68,3.96,3.38,3.41,3.97,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,MFU student
29,45,10,1006,10,2,1,1,3.39,3.32,3.95,2.84,2.68,3.77,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,MFU student
30,46,10,1006,29,1,1,1,3.32,3.29,3.62,2.3,3,3.6,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,MFU student
31,47,10,1006,29,1,0,0,3.32,3.34,3.64,3.27,2.63,3.95,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,MFU student
32,51,10,1006,29,1,0,0,3.31,3.22,3.75,3.39,2.5,3.59,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,MFU student
33,52,10,1006,29,1,0,0,3.58,3.57,4,2.2,2.82,3.62,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,MFU student
34,54,10,1006,20,5,0,0,3.6,3.6,3.81,2.41,3.75,3.26,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,MFU student
35,55,10,1006,20,5,0,0,3.07,3.07,3.88,3.08,2.31,3.34,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,MFU student
36,58,10,1006,20,5,1,1,3.5,3.5,3.82,2.16,3.16,3.34,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,MFU student
37,61,10,1006,20,5,0,0,3.3,3.3,3.23,2,3.14,3.31,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,MFU student
38,62,10,1006,20,5,1,1,3,3,2.86,2.5,3.2,3.02,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,MFU student
39,64,10,1006,20,5,0,0,3.31,3.31,3.41,2.16,3.41,3.8,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,MFU student
40,65,10,1006,20,5,0,0,3.253043206,2.98,3.3,1.38,1.88,2.75,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,MFU student
